min,max,rate,multiplier
0,96000,0,0.5
96001,96236,0.25,0.5
96237,96478,0.5,0.5
96479,96721,0.75,0.5
96722,96965,1,0.5
96966,97211,1.25,0.5
97212,97457,1.5,0.5
97458,97705,1.75,0.5
97706,97955,2,0.5
97956,98205,2.25,0.5
98206,98457,2.5,0.5
98458,98710,2.75,0.5
98711,98964,3,0.5
98965,99220,3.25,0.5
99221,99477,3.5,0.5
99478,99736,3.75,0.5
99737,99995,4,0.5
99996,144354,4.25,0.5
144355,144717,4.5,0.5
144718,145081,4.75,0.5
145082,145448,5,0.5
145449,145816,5.25,0.5
145817,146186,5.5,0.5
146187,146558,5.75,0.5
146559,146932,6,0.5
146933,147308,6.25,0.5
147309,147685,6.5,0.5
147686,148065,6.75,0.5
148066,148446,7,0.5
148447,148830,7.25,0.5
148831,149216,7.5,0.5
149217,149603,7.75,0.5
149604,149993,8,0.5
149994,192472,8.25,0.5
192473,192956,8.5,0.5
192957,193442,8.75,0.5
193443,193930,9,0.5
193931,194421,9.25,0.5
194422,194914,9.5,0.5
194915,195410,9.75,0.5
195411,195909,10,0.5
195910,196410,10.25,0.5
196411,196913,10.5,0.5
196914,197420,10.75,0.5
197421,197928,11,0.5
197929,198440,11.25,0.5
198441,198954,11.5,0.5
198955,199471,11.75,0.5
199472,199990,12,0.5
199991,240590,12.25,0.5
240591,241194,12.5,0.5
241195,241802,12.75,0.5
241803,242413,13,0.5
242414,243026,13.25,0.5
243027,243643,13.5,0.5
243644,244263,13.75,0.5
244264,244886,14,0.5
244887,245512,14.25,0.5
245513,246142,14.5,0.5
246143,246774,14.75,0.5
246775,247410,15,0.5
247411,248050,15.25,0.5
248051,248692,15.5,0.5
248693,249338,15.75,0.5
249339,249987,16,0.5
249988,288708,16.25,0.5
288709,289433,16.5,0.5
289434,290162,16.75,0.5
290163,290895,17,0.5
290896,291631,17.25,0.5
291632,292371,17.5,0.5
292372,293115,17.75,0.5
293116,293863,18,0.5
293864,294615,18.25,0.5
294616,295370,18.5,0.5
295371,296129,18.75,0.5
296130,296892,19,0.5
296893,297660,19.25,0.5
297661,298431,19.5,0.5
298432,299206,19.75,0.5
299207,299985,20,0.5
299986,336826,20.25,0.5
336827,337672,20.5,0.5
337673,338523,20.75,0.5
338524,339377,21,0.5
339378,340236,21.25,0.5
340237,341100,21.5,0.5
341101,341968,21.75,0.5
341969,342840,22,0.5
342841,343717,22.25,0.5
343718,344598,22.5,0.5
344599,345484,22.75,0.5
345485,346374,23,0.5
346375,347269,23.25,0.5
347270,348169,23.5,0.5
348170,349073,23.75,0.5
349073,99999999,24,0.5
0,92308,0,1
92309,92745,0.25,1
92746,93195,0.5,1
93196,93650,0.75,1
93651,94109,1,1
94110,94572,1.25,1
94573,95041,1.5,1
95042,95513,1.75,1
95514,95991,2,1
95992,96473,2.25,1
96474,96960,2.5,1
96961,97453,2.75,1
97454,97950,3,1
97951,98452,3.25,1
98453,98959,3.5,1
98960,99472,3.75,1
99473,99990,4,1
99991,139117,4.25,1
139118,139793,4.5,1
139794,140475,4.75,1
140476,141163,5,1
141164,141858,5.25,1
141859,142561,5.5,1
142562,143270,5.75,1
143271,143986,6,1
143987,144710,6.25,1
144711,145440,6.5,1
145441,146179,6.75,1
146180,146924,7,1
146925,147678,7.25,1
147679,148439,7.5,1
148440,149208,7.75,1
149209,149985,8,1
149986,185490,8.25,1
185491,186390,8.5,1
186391,187299,8.75,1
187300,188217,9,1
188218,189144,9.25,1
189145,190081,9.5,1
190082,191026,9.75,1
191027,191981,10,1
191982,192946,10.25,1
192947,193920,10.5,1
193921,194905,10.75,1
194906,195899,11,1
195900,196903,11.25,1
196904,197918,11.5,1
197919,198944,11.75,1
198945,199980,12,1
199981,231862,12.25,1
231863,232988,12.5,1
232989,234124,12.75,1
234125,235272,13,1
235273,236430,13.25,1
236431,237601,13.5,1
237602,238783,13.75,1
238784,239976,14,1
239977,241182,14.25,1
241183,242400,14.5,1
242401,243631,14.75,1
243632,244873,15,1
244874,246129,15.25,1
246130,247398,15.5,1
247399,248679,15.75,1
248680,249974,16,1
249975,278234,16.25,1
278235,279585,16.5,1
279586,280949,16.75,1
280950,282326,17,1
282327,283716,17.25,1
283717,285121,17.5,1
285122,286539,17.75,1
286540,287972,18,1
287973,289419,18.25,1
289420,290880,18.5,1
290881,292357,18.75,1
292358,293848,19,1
293849,295355,19.25,1
295356,296877,19.5,1
296878,298415,19.75,1
298416,299969,20,1
299970,324607,20.25,1
324608,326182,20.5,1
326183,327773,20.75,1
327774,329380,21,1
329381,331002,21.25,1
331003,332641,21.5,1
332642,334296,21.75,1
334297,335967,22,1
335968,337655,22.25,1
337656,339360,22.5,1
339361,341083,22.75,1
341084,342823,23,1
342824,344581,23.25,1
344582,346357,23.5,1
346358,348151,23.75,1
348151,99999999,24,1
0,88889,0,1.5
88890,89498,0.25,1.5
89499,90129,0.5,1.5
90130,90768,0.75,1.5
90769,91416,1,1.5
